user_id,genre,play_count
user_1,Jazz,9
user_10,Jazz,6
user_100,Hip-Hop,7
user_11,Rock,2
user_12,Pop,6
user_13,Jazz,7
user_14,Jazz,7
user_15,Classical,5
user_16,Rock,9
user_17,Hip-Hop,8
user_18,Jazz,4
user_19,Jazz,9
user_2,Rock,9
user_20,Rock,11
user_21,Rock,6
user_22,Pop,7
user_23,Jazz,5
user_24,Classical,6
user_25,Pop,7
user_26,Pop,7
user_27,Jazz,6
user_28,Hip-Hop,2
user_29,Classical,5
user_3,Rock,5
user_30,Pop,9
user_31,Jazz,6
user_32,Pop,6
user_33,Rock,8
user_34,Jazz,6
user_35,Jazz,4
user_36,Hip-Hop,4
user_37,Classical,1
user_38,Classical,4
user_39,Jazz,10
user_4,Classical,7
user_40,Hip-Hop,11
user_41,Jazz,10
user_42,Rock,5
user_43,Jazz,8
user_44,Pop,11
user_45,Hip-Hop,6
user_46,Hip-Hop,7
user_47,Jazz,8
user_48,Rock,6
user_49,Jazz,10
user_5,Jazz,3
user_50,Rock,5
user_51,Classical,8
user_52,Classical,12
user_53,Rock,3
user_54,Jazz,12
user_55,Rock,7
user_56,Jazz,3
user_58,Pop,6
user_59,Hip-Hop,7
user_6,Jazz,6
user_60,Classical,8
user_61,Hip-Hop,8
user_62,Classical,5
user_63,Hip-Hop,4
user_64,Jazz,6
user_65,Hip-Hop,10
user_66,Classical,11
user_67,Pop,6
user_68,Pop,10
user_69,Pop,5
user_7,Jazz,7
user_70,Jazz,4
user_71,Jazz,7
user_72,Hip-Hop,12
user_73,Jazz,5
user_74,Rock,4
user_75,Hip-Hop,3
user_76,Pop,11
user_77,Jazz,10
user_78,Rock,5
user_79,Hip-Hop,3
user_8,Classical,5
user_80,Rock,9
user_81,Jazz,8
user_82,Classical,6
user_83,Rock,4
user_84,Pop,7
user_85,Hip-Hop,6
user_86,Pop,6
user_87,Hip-Hop,5
user_88,Classical,6
user_89,Hip-Hop,10
user_9,Rock,7
user_90,Rock,6
user_91,Jazz,6
user_92,Classical,6
user_93,Hip-Hop,10
user_94,Hip-Hop,5
user_95,Jazz,8
user_96,Pop,11
user_97,Rock,8
user_98,Classical,3
user_99,Pop,9
