song_id,title,avg_duration_sec,play_count
song_23,Title_song_23,199.22,9
song_6,Title_song_6,186.93,41
song_34,Title_song_34,185.27,15
song_49,Title_song_49,183.75,12
song_45,Title_song_45,183.22,9
song_20,Title_song_20,182.84,25
song_46,Title_song_46,181.88,16
song_39,Title_song_39,181.45,11
song_25,Title_song_25,179.13,15
song_10,Title_song_10,178.92,12
song_30,Title_song_30,178.28,40
song_35,Title_song_35,177.27,15
song_36,Title_song_36,177.26,19
song_29,Title_song_29,176.27,15
song_21,Title_song_21,175.83,18
song_12,Title_song_12,175.44,16
song_32,Title_song_32,174.19,43
song_44,Title_song_44,174.06,18
song_15,Title_song_15,172.19,16
song_16,Title_song_16,169.17,18
song_7,Title_song_7,169.15,39
song_9,Title_song_9,169.0,35
song_42,Title_song_42,168.83,24
song_13,Title_song_13,168.09,23
song_28,Title_song_28,167.23,35
song_22,Title_song_22,166.92,37
song_1,Title_song_1,166.67,18
song_3,Title_song_3,166.41,17
song_37,Title_song_37,166.38,13
song_5,Title_song_5,165.5,24
song_31,Title_song_31,163.86,14
song_40,Title_song_40,163.63,16
song_19,Title_song_19,163.26,23
song_4,Title_song_4,162.4,15
song_2,Title_song_2,161.86,22
song_50,Title_song_50,159.86,21
song_43,Title_song_43,159.27,15
song_8,Title_song_8,158.67,15
song_11,Title_song_11,156.35,23
song_48,Title_song_48,152.8,15
song_24,Title_song_24,152.45,42
song_26,Title_song_26,151.57,14
song_27,Title_song_27,146.33,12
song_41,Title_song_41,142.46,13
song_18,Title_song_18,141.12,17
song_38,Title_song_38,140.06,17
song_47,Title_song_47,134.81,16
song_17,Title_song_17,133.0,17
song_14,Title_song_14,119.0,13
song_33,Title_song_33,106.83,12
